,time,content,anger,positivity
114, 2017-02-25 01:04," ""Trump vows to fight 'epidemic' of human trafficking  https://t.co/oDLZ2NdrtA""",0.5,0.0
115, 2017-02-25 11:09," ""FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!""",0.1,0.1
120, 2017-02-26 19:42," ""For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!""",0.42857142857142855,0.2857142857142857
126, 2017-03-03 10:27," ""...intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed.....""",0.14285714285714285,0.0
127, 2017-03-03 10:38," ""...is all of the illegal leaks of classified and other information. It is a total 'witch hunt!'""",0.4,0.2
134, 2017-03-04 19:35," ""Terrible! Just found out that Obama had my 'wires tapped' in Trump Tower just before the victory. Nothing found. This is McCarthyism!""",0.16666666666666666,0.6666666666666666
135, 2017-03-04 19:49," ""Is it legal for a sitting President to be 'wire tapping' a race for president prior to an election? Turned down by court earlier. A NEW LOW!""",0.1,0.30000000000000004
136, 2017-03-04 20:02," ""How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!""",0.14285714285714285,0.14285714285714285
141, 2017-03-07 20:13," ""Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!""",0.16666666666666666,0.16666666666666666
143, 2017-03-08 08:14," ""I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!""",0.16666666666666666,0.16666666666666666
156, 2017-03-15 20:14," ""CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!""",0.14285714285714285,0.14285714285714285
172, 2017-03-20 18:49," ""The Democrats made up and pushed the Russian story as an excuse for running a terrible campaign. Big advantage in Electoral College &amp; lost!""",0.1111111111111111,0.1111111111111111
173, 2017-03-20 20:35," ""Just heard Fake News CNN is doing polls again despite the fact that their election polls were a WAY OFF disaster. Much higher ratings at Fox""",0.14285714285714285,0.0
179, 2017-03-23 09:33," ""Spoke to U.K. Prime Minister Theresa May today to offer condolences on the terrorist attack in London. She is strong and doing very well.""",0.2857142857142857,0.2857142857142857
184, 2017-03-25 22:37," ""ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!""",0.25,0.0
188, 2017-03-28 09:41," ""The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win!""",0.09090909090909091,0.18181818181818182
191, 2017-03-28 23:26," ""The failing @NYTimes would do much better if they were honest!  https://t.co/ATy8R3knS2""",1.0,0.5
192, 2017-03-29 04:57," ""It was an honor to welcome @GLFOP to the @WhiteHouse today with @VP Pence &amp; Attorney General Sessions. THANK YOU fo… https://t.co/VHzTB4c69h""",0.2,0.6000000000000001
194, 2017-03-29 06:41," ""Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of  Uranium?""",0.14285714285714285,0.2857142857142857
199, 2017-03-30 22:27," ""The failing @nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws? https://t.co/QIqLgvYLLi""",0.3333333333333333,0.1111111111111111
209, 2017-04-01 21:02," ""It is the same Fake News Media that said there is 'no path to victory for Trump' that is now pushing the phony Russia story. A total scam!""",0.1,0.1
215, 2017-04-03 19:16," ""Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?""",0.25,0.5
217, 2017-04-04 01:56," ""Looking forward to hosting our heroes from the Wounded Warrior Project (@WWP) Soldier Ride to the @WhiteHouse on Th… https://t.co/QLC0qFD94x""",0.4,0.6000000000000001
226, 2017-04-09 03:00," ""The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!""",0.1,0.4
228, 2017-04-09 23:20," ""So sad to hear of the terrorist attack in Egypt. U.S. strongly condemns. I have great...""",0.5,0.25
231, 2017-04-11 05:59," ""Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for Americ… https://t.co/RM9lfTaePS""",0.16666666666666666,0.6666666666666666
232, 2017-04-11 19:48," ""RT @foxnation: Grateful Syrians React To @realDonaldTrump Strike: 'I'll Name My Son Donald' https://t.co/7KexXsXLUx #SyrianStrikes""",0.5,0.25
236, 2017-04-12 20:22," ""Had a very good call last night with the President of China concerning the menace of North Korea.""",0.16666666666666666,0.3333333333333333
241, 2017-04-14 11:18," ""RT @DRUDGE_REPORT: GREAT AGAIN: FEDS ARREST MURDER SUSPECT IN 'FAST AND FURIOUS' SCANDAL... https://t.co/clOLxTE3D4""",0.4,0.0
249, 2017-04-17 20:13," ""A great book for your reading enjoyment: 'REASONS TO VOTE FOR DEMOCRATS' by Michael J. Knowles.""",0.25,0.5
254, 2017-04-18 17:39," ""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""",0.4,0.0
256, 2017-04-18 18:46," ""Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.""",0.5714285714285714,0.14285714285714285
258, 2017-04-19 20:43," ""Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.""",0.5,0.5
263, 2017-04-21 18:11," ""RT @foxandfriends: NYT editor apologizes for misleading tweet about New England Patriots' visit to the White House (via… https://t.co/Re57yLE3cA""",0.2,0.4
264, 2017-04-21 18:32," ""Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on presidential election!""",0.3333333333333333,0.0
266, 2017-04-22 23:18," ""RT @foxandfriends: Israeli PM Netanyahu praises U.S. policy changes during meeting with Defense. Sec Mattis https://t.co/v2C9oaq3uY""",0.3333333333333333,0.3333333333333333
272, 2017-04-23 22:20," ""ObamaCare is in serious trouble. The Dems need big money to keep it going - otherwise it dies far sooner than anyone would have thought.""",0.3333333333333333,0.3333333333333333
273, 2017-04-23 23:42," ""The Democrats don't want money from budget going to border wall despite the fact that it will stop drugs and very bad MS 13 gang members.""",0.3333333333333333,0.2222222222222222
275, 2017-04-24 03:55," ""...popular vote. ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me &amp; 53% said strong leader.""",0.18181818181818182,0.2727272727272727
276, 2017-04-24 20:28," ""The Wall is a very important tool in stopping drugs from pouring into our country and poisoning our youth (and many others)! If""",0.16666666666666666,0.3333333333333333
281, 2017-04-26 01:51," ""Remarks at the United States Holocaust Memorial Museum's National Days of Remembrance.  Full remarks:… https://t.co/BJbI6ZtGo7""",0.14285714285714285,0.2857142857142857
283, 2017-04-26 18:20," ""First the Ninth Circuit rules against the ban &amp; now it hits again on sanctuary cities-both ridiculous rulings. See you in the Supreme Court!""",0.2857142857142857,0.2857142857142857
284, 2017-04-26 18:51," ""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",0.16666666666666666,0.16666666666666666
288, 2017-04-27 22:37," ""I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics!""",0.14285714285714285,0.14285714285714285
292, 2017-04-27 22:39," ""As families prepare for summer vacations in our National Parks - Democrats threaten to close them and shut down the government. Terrible!""",0.25,0.125
306, 2017-05-03 10:51," ""FBI Director Comey was the best thing that ever happened to Hillary Clinton in that he gave her a free pass for many bad deeds! The phony...""",0.4,0.2
307, 2017-05-03 11:06," ""...Trump/Russia story was an excuse used by the Democrats as justification for losing the election. Perhaps Trump just ran a great campaign?""",0.125,0.125
321, 2017-05-07 19:37," ""RT @brunelldonald: I thought about jobs that went overseas failing schools open borders not my skin color when I voted… https://t.co/w0I9BEvTzy""",0.2,0.0
322, 2017-05-07 20:49," ""Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!""",0.3333333333333333,0.0
327, 2017-05-09 06:43," ""Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!""",0.14285714285714285,0.0
331, 2017-05-10 20:57," ""The Roger Stone report on @CNN is false - Fake News. Have not spoken to Roger in a long time - had nothing to do with my decision.""",0.125,0.0
332, 2017-05-11 03:23," ""Dems have been complaining for months &amp; months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!""",0.5,0.0
333, 2017-05-11 08:14," ""The Democrats should be ashamed. This is a disgrace! #DrainTheSwamp https://t.co/UfbKEECm2V""",0.5,0.0
337, 2017-05-12 04:34," ""Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.""",0.2,0.2
347, 2017-05-18 19:52," ""This is the single greatest witch hunt of a politician in American history!""",0.16666666666666666,0.0
363, 2017-05-27 04:26," ""Terrorists are engaged in a war against civilization- it is up to all who value life to confront &amp; defeat this evil➡️https://t.co/haeuvCIF6I""",0.2857142857142857,0.2857142857142857
371, 2017-05-28 20:35," ""....it is very possible that those sources don't exsist but are made up by fake news writers. #FakeNews is the enemy!""",0.25,0.25
373, 2017-05-28 20:45," ""....it is very possible that those sources don't exist but are made up by fake news writers. #FakeNews is the enemy!""",0.2,0.2
375, 2017-05-28 22:43," ""British Prime Minister May was very angry that the info the U.K. gave to U.S. about Manchester was leaked. Gave me full details!""",0.2,0.4
377, 2017-05-29 08:20," ""The Fake News Media works hard at disparaging &amp; demeaning my use of social media because they don't want America to hear the real story!""",0.09090909090909091,0.18181818181818182
389, 2017-06-02 18:32," ""RT @Jim_Jordan: President Trump did the right thing by withdrawing us from Paris treaty - it would hurt American companies and American workers""",0.2,0.2
397, 2017-06-04 07:01," ""RT @DRUDGE_REPORT: Fears of new terror attack after van 'mows down 20 people' on London Bridge...""",0.2,0.0
399, 2017-06-04 19:31," ""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is 'no reason to be alarmed!'""",0.25,0.5
400, 2017-06-04 19:43," ""Do you notice we are not having a gun debate right now? That's because they used knives and a truck!""",0.25,0.25
401, 2017-06-05 18:37," ""The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - &amp; seek much tougher version!""",0.1111111111111111,0.2222222222222222
404, 2017-06-06 04:45," "".@SecShulkin's decision is one of the biggest wins for our VETERANS in decades. Our HEROES deserve the best!  ➡️… https://t.co/RnNp9q7Tdh""",0.5,0.5
407, 2017-06-06 19:58," ""The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.""",0.2857142857142857,0.2857142857142857
412, 2017-06-07 09:07," ""Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can’t tolerate substandard care for our vets.""",0.125,0.125
415, 2017-06-09 22:22," ""Congratulations to Jeb Hensarling &amp; Republicans on successful House vote to repeal major parts of the 2010 Dodd-Frank financial law. GROWTH!""",0.1,0.5
419, 2017-06-11 20:29," ""I believe the James Comey leaks will be far more prevalent than anyone ever thought possible. Totally illegal? Very 'cowardly!'""",0.2,0.0
420, 2017-06-12 10:07," ""RT @foxandfriends: 'Yesterday's hearings provided zero evidence of collusion between our campaign and the Russians because there wasn'… https://t.co/w3Tin9BgXI""",0.2,0.0
423, 2017-06-13 00:58," ""We will NEVER FORGET the victims who lost their lives one year ago today in the horrific #PulseNightClub shooting.… https://t.co/7lZGgDJkxZ""",0.2857142857142857,0.0
426, 2017-06-13 18:35," ""The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!""",0.2,0.0
427, 2017-06-13 20:07," ""RT @Corrynmb: @realDonaldTrump Liberals have an agenda and it's not in America's best interest. Keep fighting the good fight! We… https://t.co/8Rlo9Tw166""",0.5,0.5
428, 2017-06-13 20:45," ""A.G. Lynch made law enforcement decisions for political purposes...gave Hillary Clinton a free pass and protection. Totally illegal!""",0.2857142857142857,0.0
432, 2017-06-15 19:57," ""You are witnessing the single greatest WITCH HUNT in American political history - led by some very bad and conflicted people!  #MAGA""",0.2857142857142857,0.0
435, 2017-06-16 20:23," ""The Fake News Media hates when I use what has turned out to be my very powerful Social Media - over 100 million people! I can go around them""",0.125,0.125
436, 2017-06-16 21:07," ""I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt""",0.14285714285714285,0.2857142857142857
448, 2017-06-20 04:29," ""Karen Handle's opponent in #GA06 can't even vote in the district he wants to represent....""",0.5,0.25
449, 2017-06-20 04:34," ""Karen Handel's opponent in #GA06 can't even vote in the district he wants to represent....""",0.6666666666666666,0.3333333333333333
453, 2017-06-20 07:57," ""RT @joegooding: What's happening in our country isn't just an assault on our @POTUS @realDonaldTrump it's an assault on the America… https://t.co/ejjy0OLuqX""",0.5,0.0
454, 2017-06-21 00:41," ""The U.S. once again condemns the brutality of the North Korean regime as we mourn its latest victim. Video: https://t.co/Rvm11ZbPk7""",0.5,0.0
463, 2017-06-22 22:01," ""...Why did Democratic National Committee turn down the DHS offer to protect against hacks (long prior to election). It's all a big Dem HOAX!""",0.1,0.2
464, 2017-06-22 22:15," ""I certainly hope the Democrats do not force Nancy P out. That would be very bad for the Republican Party - and please let Cryin' Chuck stay!""",0.2857142857142857,0.14285714285714285
467, 2017-06-23 11:00," ""RT @foxnation: .@SenTedCruz: I want to Get to a 'Yes' Vote: https://t.co/g0vafw4ef2""",1.0,1.0
472, 2017-06-25 04:44," ""Obama Administration official said they 'choked' when it came to acting on Russian meddling of election. They didn't want to hurt Hillary?""",0.16666666666666666,0.0
473, 2017-06-25 04:50," ""I cannot imagine that these very fine Republican Senators would allow the American people to suffer a broken ObamaCare any longer!""",0.2,0.0
475, 2017-06-25 20:00," ""Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!""",0.3333333333333333,0.0
480, 2017-06-27 02:25," ""Very grateful for the 9-O decision from the U. S. Supreme Court. We must keep America SAFE!""",0.2,0.6000000000000001
482, 2017-06-27 19:00," ""RT @foxandfriends: Mark Levin: The collusion is among the Democrats https://t.co/Qrca7r01BI""",0.5,0.0
484, 2017-06-27 19:19," ""RT @foxandfriends: Another Dem 'queasy' over claim of Loretta Lynch meddling in Clinton case https://t.co/wdQ9MduxOO""",0.25,0.0
485, 2017-06-27 19:23," ""RT @foxandfriends: President Trump officially nominates former Assistant Attorney General Christopher Wray to head the FBI https://t.co/ld7xuw95jw""",0.16666666666666666,0.5
487, 2017-06-27 20:30," ""Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!""",0.14285714285714285,0.14285714285714285
488, 2017-06-28 18:49," ""The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!""",0.09090909090909091,0.18181818181818182
489, 2017-06-28 19:03," ""RT @foxandfriends: HAPPENING TODAY: House to vote on immigration bills including 'Kate’s Law' and 'No Sanctuary for Criminals Act' https://t.co/FvV5x0tUG5""",0.1111111111111111,0.3333333333333333
492, 2017-06-29 09:51," ""Tomorrow the House votes on #KatesLaw &amp; No Sanctuary For Criminals Act. Lawmakers must vote to put American safety… https://t.co/p3vd8IXXaD""",0.14285714285714285,0.2857142857142857
493, 2017-06-29 20:27," ""New Sugar deal negotiated with Mexico is a very good one for both Mexico and the U.S. Had no deal for many years which hurt U.S. badly.""",0.14285714285714285,0.5714285714285714
495, 2017-06-30 05:13," ""'Mattis Says Trump’s Warning Stopped Chemical Weapons Attack In Syria' https://t.co/XL9LLNKh8i""",0.3333333333333333,0.0
500, 2017-06-30 18:48," ""Crime and killings in Chicago have reached such epidemic proportions that I am sending in Federal help. 1714 shootings in Chicago this year!""",0.4,0.0
501, 2017-06-30 20:55," ""Watched low rated @Morning_Joe for first time in long time. FAKE NEWS. He called me to stop a National Enquirer article. I said no! Bad show""",0.1,0.0
505, 2017-07-01 20:59," ""Word is that @Greta Van Susteren was let go by her out of control bosses at @NBC &amp; @Comcast because she refused to go along w/ 'Trump hate!'""",0.16666666666666666,0.16666666666666666
506, 2017-07-01 21:07," ""Numerous states are refusing to give information to the very distinguished VOTER FRAUD PANEL. What are they trying to hide?""",0.14285714285714285,0.14285714285714285
513, 2017-07-03 04:04," ""The dishonest media will NEVER keep us from accomplishing our objectives on behalf of our GREAT AMERICAN PEOPLE!… https://t.co/EwnwCeuGMv""",0.3333333333333333,0.0
517, 2017-07-04 04:44," ""Thank you to Shawn Steel for the nice words on @FoxNews.""",0.5,0.0
518, 2017-07-04 05:10," ""Dow hit a new intraday all-time high! I wonder whether or not the Fake News Media will so report?""",0.14285714285714285,0.0
528, 2017-07-07 00:02," ""America is proud to stand shoulder-to-shoulder with Poland in the fight to eradicate the evils of terrorism and ext… https://t.co/Kkcs2dT4Yy""",0.42857142857142855,0.42857142857142855
529, 2017-07-07 01:21," ""THE WEST WILL NEVER BE BROKEN. Our values will PREVAIL. Our people will THRIVE and our civilization will TRIUMPH! https://t.co/sozuVgdp5T""",0.2,0.6000000000000001
532, 2017-07-07 15:40," ""Everyone here is talking about why John Podesta refused to give the DNC server to the FBI and the CIA. Disgraceful!""",0.3333333333333333,0.0
533, 2017-07-07 15:44," ""I will represent our country well and fight for its interests! Fake News Media will never cover me accurately but who cares! We will #MAGA!""",0.16666666666666666,0.0
535, 2017-07-09 02:17," ""We will fight the #FakeNews with you! https://t.co/zOMiXTeLJq""",1.0,0.0
538, 2017-07-09 19:15," ""The G 20 Summit was a great success for the U.S. - Explained that the U.S. must fix the many bad trade deals it has made. Will get done!""",0.2,0.2
545, 2017-07-10 18:30," ""RT @RealJamesWoods: Only now with a #RealPresident do we see the scope of destruction engineered by #Obama and the #Democrat cabal.  @realDonaldTrump #America""",0.25,0.0
548, 2017-07-10 18:40," ""James Comey leaked CLASSIFIED INFORMATION to the media. That is so illegal!""",0.3333333333333333,0.3333333333333333
550, 2017-07-10 19:52," ""RT @seanhannity: HRC mishandles and destroys classified info-NO PROBLEM! Pay/play on Uranium one NO PROBLEM! Lynch BC tarmac: it's a 'matter' NO PROBLEM""",0.125,0.125
553, 2017-07-11 18:49," ""RT @foxandfriends: SEN. CRUZ: It's crazy to go an August recess without having Obamacare repealed. We should work every day until it i… https://t.co/l7S8SHVwXx""",0.2,0.2
554, 2017-07-11 18:59," ""The Senate Democrats have only confirmed 48 of 197 Presidential Nominees. They  can't win so all they do is slow things down &amp; obstruct!""",0.2,0.2
558, 2017-07-12 17:55," ""RT @FoxNews: .@jessebwatters on @DonaldJTrumpJr meeting with Russian attorney: 'I believe Don Jr. is the victim here.' #TheFive https://t.co/z59Khs9rkq""",0.5,0.5
560, 2017-07-12 20:12," "".@WashTimes states 'Democrats have willfully used Moscow disinformation to influence the presidential election against Donald Trump.'""",0.25,0.25
561, 2017-07-12 21:27," ""Why aren't the same standards placed on the Democrats. Look what Hillary Clinton may have gotten away with. Disgraceful!""",1.0,0.0
569, 2017-07-15 09:34," ""Honored to serve as Commander-in-Chief to the courageous men and women of our U.S. Armed Forces. A grateful nation… https://t.co/bV3TzhqQfK""",0.14285714285714285,0.42857142857142855
572, 2017-07-16 01:56," ""Next week the Senate is going to vote on legislation to save Americans from the ObamaCare DISASTER. #WeeklyAddress🇺🇸 https://t.co/xjVDkgo1NK""",0.3333333333333333,0.3333333333333333
575, 2017-07-16 19:04," ""Thank you to former campaign adviser Michael Caputo for saying so powerfully that there was no Russian collusion in our winning campaign.""",0.16666666666666666,0.5
579, 2017-07-17 22:07," ""Most politicians would have gone to a meeting like the one Don jr attended in order to get info on an opponent. That's politics!""",0.4,0.2
580, 2017-07-18 10:17," ""Republicans should just REPEAL failing ObamaCare now &amp; work on a new Healthcare Plan that will start from a clean slate. Dems will join in!""",0.125,0.375
581, 2017-07-18 21:26," ""The Senate must go to a 51 vote majority instead of current 60 votes. Even parts of full Repeal need 60. 8 Dems control Senate. Crazy!""",0.2,0.30000000000000004
582, 2017-07-19 08:59," ""The Fake News is becoming more and more dishonest! Even a dinner arranged for top 20 leaders in Germany is made to look sinister!""",0.2857142857142857,0.2857142857142857
588, 2017-07-22 09:46," ""Sean Spicer is a wonderful person who took tremendous abuse from the Fake News Media - but his future is bright!""",0.125,0.125
592, 2017-07-24 21:18," ""Republicans have a last chance to do the right thing on Repeal &amp; Replace after years of talking &amp; campaigning on it.""",0.16666666666666666,0.0
595, 2017-07-25 10:28," ""So many stories about me in the @washingtonpost are Fake News. They are as bad as ratings challenged @CNN. Lobbyist for Amazon and taxes?""",0.25,0.0
597, 2017-07-25 18:03," ""Ukrainian efforts to sabotage Trump campaign - 'quietly working to boost Clinton.' So where is the investigation A.G. @seanhannity""",0.14285714285714285,0.14285714285714285
598, 2017-07-25 18:12," ""Attorney General Jeff Sessions has taken a VERY weak position on Hillary Clinton crimes (where are E-mails &amp; DNC server) &amp; Intel leakers!""",0.25,0.5
600, 2017-07-25 18:44," ""So great that John McCain is coming back to vote. Brave - American hero! Thank you John.""",0.16666666666666666,0.3333333333333333
606, 2017-07-26 03:24," "".@SenJohnMcCain-Thank you for coming to D.C. for such a vital vote. Congrats to all Rep. We can now deliver grt healthcare to all Americans!""",0.3333333333333333,0.6666666666666666
608, 2017-07-26 18:44," ""RT @foxandfriends: Sen. John McCain making his return to the Senate ahead of health care vote https://t.co/VuojpRpcLM""",0.14285714285714285,0.2857142857142857
611, 2017-07-26 21:08," ""....victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. Thank you""",0.16666666666666666,0.3333333333333333
614, 2017-07-27 21:35," ""'One of the things that has been lost in the politics of this situation is that the Russians collected and spread negative information.....""",0.125,0.125
615, 2017-07-27 21:45," ""...about then candidate Trump.' Catherine Herridge @FoxNews. So why doesn't Fake News report this? Witch Hunt! Purposely phony reporting.""",0.2222222222222222,0.1111111111111111
616, 2017-07-28 02:37," ""Big progress being made in ridding our country of MS-13 gang members and gang members in general. MAKE AMERICA SAFE AGAIN!""",0.25,0.375
617, 2017-07-28 03:08," ""Join me live as we recognize the first responders to the June 14th shooting involving @SteveScalise. #TeamScalise… https://t.co/pMyZFvdPOh""",0.5,0.5
619, 2017-07-29 00:24," ""Departing for Long Island now. An area under siege from #MS13 gang members. We will not rest until #MS13 is eradica… https://t.co/XXopBjrADI""",0.16666666666666666,0.16666666666666666
623, 2017-07-29 19:32," ""Republicans in the Senate will NEVER win if they don't go to a 51 vote majority NOW. They look like fools and are just wasting time......""",0.16666666666666666,0.5
625, 2017-07-31 20:29," ""RT @foxandfriends: .@Suffolk_Sheriff praises President Trump for making gang eradication a priority https://t.co/uNY7jBhleE""",0.4,0.2
